0.129252,0.353132,0.802515,5.01342,10.5652,4.36363,1.06608,0.365894,0.0916451,0.0252535,0.00975448,0.00350602,0.00141724,0.000583178,0.000195898,8.81E-05,4.61E-05,1.37E-05,6.94E-06,1.61E-06,4.10E-07,1.94E-07,8.29E-08,2.70E-08,1.31E-08,5.30E-09,2.45E-09,1.04E-09,4.91E-10,1.48E-10,3.65E-11,9.29E-12,4.43E-12,1.38E-12,6.04E-13, 
0.0684901,0.125372,0.455713,1.83637,2.65945,1.17869,0.377593,0.174649,0.0525543,0.0156878,0.00517115,0.00327675,0.00111613,0.000333786,0.000131544,5.30E-05,2.91E-05,1.42E-05,4.06E-06,1.52E-06,5.38E-07,2.33E-07,7.20E-08,2.61E-08,1.46E-08,4.34E-09,1.69E-09,7.27E-10,3.98E-10,1.21E-10,3.64E-11,1.16E-11,4.61E-12,1.32E-12,7.30E-13, 
0.0197077,0.0643564,0.175347,0.516425,0.460484,0.414792,0.212626,0.0699802,0.0260514,0.0111922,0.00516419,0.00229743,0.000825704,0.000360221,8.18E-05,5.11E-05,2.33E-05,1.02E-05,3.94E-06,1.82E-06,4.39E-07,1.60E-07,5.40E-08,2.61E-08,9.51E-09,3.98E-09,1.57E-09,5.88E-10,2.30E-10,9.53E-11,3.12E-11,8.41E-12,2.75E-12,1.22E-12,6.66E-13, 
-0.0245444,0.00874519,0.0532002,0.103751,0.110246,0.141609,0.0618104,0.0305417,0.0146572,0.00595299,0.0031721,0.00136679,0.000497606,0.000256995,9.82E-05,3.69E-05,1.75E-05,7.21E-06,2.47E-06,8.61E-07,3.41E-07,9.10E-08,5.57E-08,1.54E-08,6.15E-09,2.94E-09,1.02E-09,3.55E-10,1.34E-10,5.99E-11,2.03E-11,7.31E-12,2.94E-12,1.46E-12,5.17E-13, 
-0.159143,-0.107209,-0.0212113,0.00154843,0.0302899,0.0379883,0.0228704,0.0187233,0.0071916,0.00428054,0.00211318,0.000933552,0.000360018,0.000138319,6.83E-05,2.37E-05,1.25E-05,4.14E-06,1.70E-06,5.84E-07,2.22E-07,7.81E-08,3.73E-08,1.32E-08,4.91E-09,1.75E-09,9.04E-10,3.27E-10,1.31E-10,4.44E-11,1.71E-11,6.28E-12,2.59E-12,1.02E-12,4.53E-13, 
-0.596297,-0.414331,-0.264802,-0.0711391,-0.0321542,-0.00362787,-0.000955916,0.0047001,0.00272601,0.00222979,0.00105246,0.000664955,0.000212728,8.73E-05,4.23E-05,1.52E-05,7.34E-06,2.95E-06,1.08E-06,4.23E-07,1.55E-07,6.09E-08,1.82E-08,8.54E-09,3.22E-09,1.30E-09,6.92E-10,2.39E-10,8.32E-11,3.89E-11,1.42E-11,4.76E-12,2.39E-12,9.92E-13,3.81E-13, 
-2.13871,-0.923341,-0.481938,-0.252516,-0.0985747,-0.023876,-0.00740037,-7.09E-05,0.000884151,0.000588355,0.000426845,0.000238415,7.32E-05,4.36E-05,2.17E-05,1.18E-05,3.89E-06,1.81E-06,7.82E-07,2.23E-07,1.06E-07,5.81E-08,1.88E-08,6.54E-09,2.91E-09,1.10E-09,4.13E-10,1.68E-10,6.61E-11,2.43E-11,1.12E-11,3.59E-12,2.22E-12,7.48E-13,2.09E-13, 
-6.65188,-2.42769,-0.89241,-0.313513,-0.0727793,-0.0330472,-0.0113055,-0.00214063,-0.000626455,-0.000129972,0.000128736,7.23E-05,2.90E-05,2.04E-05,1.51E-05,4.58E-06,2.80E-06,1.27E-06,5.48E-07,1.71E-07,9.85E-08,3.76E-08,1.66E-08,7.37E-09,2.27E-09,9.63E-10,3.67E-10,1.46E-10,5.11E-11,2.02E-11,6.33E-12,3.16E-12,1.01E-12,3.82E-13,1.24E-13, 
-20,-6.68794,-1.74301,-0.601053,-0.0886212,-0.0454321,-0.00933603,-0.00270597,-0.00101444,-0.000523132,-0.000173886,-2.04E-05,-2.72E-06,3.52E-06,3.84E-06,1.73E-06,1.19E-06,5.59E-07,2.61E-07,1.14E-07,4.99E-08,1.90E-08,7.04E-09,3.08E-09,9.23E-10,4.52E-10,1.75E-10,1.01E-10,3.42E-11,1.12E-11,3.99E-12,1.85E-12,6.56E-13,2.71E-13,8.88E-14, 
-7.17351,-3.04567,-1.27355,-0.476179,-0.189487,-0.0621694,-0.0260265,-0.00551021,-0.0017439,-0.000478506,-0.000166579,-5.36E-05,-1.70E-05,-2.23E-06,8.39E-07,3.76E-07,2.85E-07,2.49E-07,1.00E-07,4.24E-08,1.79E-08,1.13E-08,5.07E-09,1.77E-09,5.42E-10,2.30E-10,1.20E-10,6.20E-11,1.66E-11,7.15E-12,2.12E-12,1.32E-12,4.96E-13,1.73E-13,9.02E-14, 
