0.00382868,0.116191,0.745465,3.89944,8.15744,4.01626,1.47203,0.551333,0.174429,0.0870335,0.0250532,0.00912423,0.00249166,0.00102693,0.000419753,0.000131468,5.00E-05,2.01E-05,8.40E-06, 
0.0101646,0.136601,0.612175,1.85587,4.20481,1.54658,0.478056,0.24397,0.105084,0.0525671,0.0232909,0.00943698,0.00320491,0.00112817,0.00034699,0.000126045,6.41E-05,1.60E-05,7.12E-06, 
0.000805043,0.0332884,0.274046,1.08019,1.17002,0.698387,0.30359,0.119663,0.0579422,0.0297607,0.0131256,0.00460919,0.00148765,0.000765605,0.000216942,8.67E-05,4.06E-05,1.34E-05,4.12E-06, 
2.49E-05,0.0128954,0.0802105,0.287346,0.689204,0.346275,0.166353,0.0684359,0.0311509,0.0167736,0.00770705,0.00215702,0.0011529,0.000538216,0.000209333,8.77E-05,2.92E-05,7.67E-06,2.56E-06, 
0.000129703,0.00322588,0.0205338,0.128641,0.305247,0.173804,0.0898347,0.0453639,0.0163717,0.00600538,0.00381917,0.00155926,0.000689671,0.000228423,7.95E-05,4.45E-05,1.69E-05,5.16E-06,1.67E-06, 
5.17E-05,0.00126843,0.0184666,0.0514178,0.127207,0.0628717,0.0314178,0.0160154,0.00634512,0.00294345,0.00104471,0.00076148,0.000375335,0.000163789,5.90E-05,2.34E-05,9.07E-06,3.26E-06,1.01E-06, 
4.04E-07,6.23E-05,0.00188303,0.00859995,0.0340181,0.025325,0.00959944,0.00791442,0.00304185,0.00108383,0.000699508,0.000268954,0.000117074,9.08E-05,3.66E-05,1.19E-05,6.81E-06,1.32E-06,6.25E-07, 
-1.97339,5.02E-05,0.000735782,0.00252916,0.0105147,0.00578474,0.00506614,0.0026018,0.00151745,0.000714455,0.000315345,0.000122624,6.38E-05,4.00E-05,1.86E-05,8.79E-06,4.13E-06,1.40E-06,5.60E-07, 
-28.2006,1.37E-05,0.000366493,0.00152154,0.00318546,0.00219539,0.00198565,0.0010295,0.000568695,0.000243552,0.000121169,6.64E-05,2.65E-05,2.06E-05,8.72E-06,3.49E-06,2.01E-06,8.20E-07,3.51E-07, 
-2.37334,1.53E-05,0.000170402,0.000709633,0.00106954,0.0010878,0.000649422,0.00035624,0.000168493,0.000124677,7.17E-05,1.91E-05,1.46E-05,7.66E-06,4.06E-06,1.69E-06,8.95E-07,4.38E-07,1.92E-07, 
-0.357137,1.03E-05,7.82E-05,0.000262295,0.000255134,0.000269388,0.000257623,0.000146377,5.59E-05,3.92E-05,2.23E-05,1.16E-05,5.10E-06,3.50E-06,1.84E-06,6.90E-07,3.69E-07,1.99E-07,1.06E-07, 
-0.0355914,1.77E-06,1.68E-05,5.90E-05,0.000105021,8.62E-05,6.56E-05,4.20E-05,2.40E-05,1.50E-05,9.48E-06,4.59E-06,2.31E-06,1.29E-06,6.72E-07,3.25E-07,1.57E-07,1.05E-07,5.14E-08, 
-0.00024576,7.14E-07,6.31E-06,2.44E-05,5.04E-05,3.13E-05,2.64E-05,1.43E-05,1.06E-05,8.12E-06,3.65E-06,2.59E-06,1.32E-06,6.74E-07,3.67E-07,1.43E-07,6.39E-08,5.67E-08,2.37E-08, 
7.20E-09,8.29E-08,1.66E-06,9.20E-06,2.08E-05,1.40E-05,1.00E-05,5.78E-06,2.90E-06,2.28E-06,1.28E-06,9.47E-07,5.31E-07,2.80E-07,1.71E-07,7.79E-08,4.79E-08,2.57E-08,1.49E-08, 
2.10E-09,5.92E-08,8.77E-07,4.30E-06,4.84E-06,5.12E-06,3.81E-06,2.48E-06,1.39E-06,1.12E-06,7.17E-07,4.48E-07,2.77E-07,1.59E-07,7.28E-08,3.90E-08,2.21E-08,1.31E-08,6.82E-09, 
4.51E-09,6.99E-08,3.02E-07,1.27E-06,2.10E-06,1.94E-06,9.87E-07,8.64E-07,8.07E-07,4.42E-07,2.84E-07,1.82E-07,1.34E-07,7.49E-08,4.32E-08,1.70E-08,9.23E-09,5.70E-09,3.46E-09, 
6.93E-11,7.38E-09,1.63E-07,5.13E-07,7.72E-07,4.70E-07,2.66E-07,1.85E-07,2.33E-07,1.67E-07,1.27E-07,1.16E-07,6.24E-08,3.00E-08,1.67E-08,1.03E-08,3.96E-09,2.61E-09,1.67E-09, 
2.99E-10,2.90E-09,1.42E-08,1.59E-07,2.79E-07,1.77E-07,1.41E-07,9.84E-08,7.42E-08,6.91E-08,6.00E-08,5.28E-08,2.45E-08,1.46E-08,8.48E-09,4.46E-09,2.56E-09,1.51E-09,7.87E-10, 
1.22E-10,2.49E-09,8.84E-09,6.58E-08,9.11E-08,7.68E-08,4.56E-08,4.63E-08,3.39E-08,3.50E-08,2.22E-08,1.48E-08,9.45E-09,7.26E-09,4.05E-09,2.27E-09,1.31E-09,5.33E-10,3.93E-10, 
